id,season,price,sale,profit
620079042,spring,370000.0,481000.0,111000.0
1623049041,autumn,82500.0,90750.00000000001,8250.000000000015
1623049041,spring,82500.0,90750.00000000001,8250.000000000015
1623049041,summer,82500.0,90750.00000000001,8250.000000000015
1623049041,winter,82500.0,107250.0,24750.0
1446401540,autumn,243000.0,315900.0,72900.0
1446401540,spring,243000.0,315900.0,72900.0
1446401540,summer,243000.0,267300.0,24300.0
1446401540,winter,243000.0,315900.0,72900.0
1446800181,autumn,264950.0,344435.0,79485.0
1446800181,spring,264950.0,344435.0,79485.0
1446800181,summer,264950.0,344435.0,79485.0
1446800181,winter,264950.0,344435.0,79485.0
985001275,autumn,250000.0,325000.0,75000.0
985001275,spring,250000.0,325000.0,75000.0
985001275,summer,250000.0,275000.0,25000.0
985001275,winter,250000.0,325000.0,75000.0
40000362,autumn,78000.0,85800.0,7800.0
40000362,spring,78000.0,85800.0,7800.0
40000362,summer,78000.0,85800.0,7800.0
40000362,winter,78000.0,85800.0,7800.0
3028200080,autumn,81000.0,89100.0,8100.0
3028200080,spring,81000.0,89100.0,8100.0
3028200080,summer,81000.0,89100.0,8100.0
3028200080,winter,81000.0,89100.0,8100.0
795000620,autumn,157000.0,172700.0,15700.0
795000620,spring,157000.0,204100.0,47100.0
795000620,summer,157000.0,172700.0,15700.0
795000620,winter,157000.0,204100.0,47100.0
2123049086,autumn,210000.0,231000.00000000003,21000.00000000003
2123049086,spring,210000.0,273000.0,63000.0
2123049086,summer,210000.0,231000.00000000003,21000.00000000003
2123049086,winter,210000.0,273000.0,63000.0
1670400090,autumn,182000.0,200200.00000000003,18200.00000000003
1670400090,spring,182000.0,236600.0,54600.0
1670400090,summer,182000.0,200200.00000000003,18200.00000000003
1670400090,winter,182000.0,236600.0,54600.0
8658300340,spring,80000.0,88000.0,8000.0
8658300340,summer,80000.0,88000.0,8000.0
8658300340,winter,80000.0,88000.0,8000.0
3626079032,spring,396400.0,436040.00000000006,39640.00000000006
3626079032,summer,396400.0,515320.0,118920.0
3626079032,winter,396400.0,515320.0,118920.0
1125079088,spring,455000.0,591500.0,136500.0
1125079088,summer,455000.0,591500.0,136500.0
1125079088,winter,455000.0,591500.0,136500.0
3326079016,spring,190000.0,209000.00000000003,19000.00000000003
3326079016,summer,190000.0,209000.00000000003,19000.00000000003
3326079016,winter,190000.0,247000.0,57000.0
3279000370,spring,279000.0,362700.0,83700.0
3279000370,summer,279000.0,362700.0,83700.0
3279000370,winter,279000.0,362700.0,83700.0
9264901680,spring,188000.0,206800.00000000003,18800.00000000003
9264901680,summer,188000.0,244400.0,56400.0
9264901680,winter,188000.0,206800.00000000003,18800.00000000003
9510900140,spring,305000.0,396500.0,91500.0
9510900140,summer,305000.0,396500.0,91500.0
9510900140,winter,305000.0,396500.0,91500.0
5560000650,spring,135000.0,148500.0,13500.0
5560000650,summer,135000.0,148500.0,13500.0
5560000650,winter,135000.0,148500.0,13500.0
3089000005,spring,150000.0,165000.0,15000.0
3089000005,summer,150000.0,165000.0,15000.0
3089000005,winter,150000.0,165000.0,15000.0
3279000420,spring,233000.0,256300.00000000003,23300.00000000003
3279000420,summer,233000.0,302900.0,69900.0
3279000420,winter,233000.0,302900.0,69900.0
9542801410,spring,286000.0,371800.0,85800.0
9542801410,summer,286000.0,371800.0,85800.0
9542801410,winter,286000.0,371800.0,85800.0
8732130940,spring,213000.0,234300.00000000003,21300.00000000003
8732130940,summer,213000.0,276900.0,63900.0
8732130940,winter,213000.0,234300.00000000003,21300.00000000003
7428000120,spring,176000.0,193600.00000000003,17600.00000000003
7428000120,summer,176000.0,193600.00000000003,17600.00000000003
7428000120,winter,176000.0,193600.00000000003,17600.00000000003
723049596,autumn,255000.0,331500.0,76500.0
723049596,spring,255000.0,331500.0,76500.0
723049596,winter,255000.0,331500.0,76500.0
7774200236,autumn,357000.0,464100.0,107100.0
7774200236,spring,357000.0,464100.0,107100.0
7774200236,winter,357000.0,464100.0,107100.0
623049093,autumn,219900.0,285870.0,65970.0
623049093,spring,219900.0,285870.0,65970.0
623049093,winter,219900.0,241890.00000000003,21990.00000000003
6303400395,autumn,325000.0,422500.0,97500.0
6303400395,spring,325000.0,422500.0,97500.0
6303400395,winter,325000.0,422500.0,97500.0
